State,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
Andaman and Nicobar Islands,Port Blair,2016-07-01,9.53,36.27,3.29,6.85,12.12,4.89,0.35,1.0,21.29,0.63,0.69,0.14,16,Good,20.6,82.7,0.273,0.6,0.31,47.6
Andaman and Nicobar Islands,Port Blair,2016-08-01,16.34,23.91,4.04,5.67,9.97,8.55,0.12,7.43,13.9,0.1,1.3,0.3,27,Good,12.9,86.0,0.582,2.0,0.3,46.9
Andaman and Nicobar Islands,Port Blair,2016-09-01,14.91,25.98,1.67,10.44,12.35,7.75,0.5,3.32,20.6,0.23,0.34,0.05,25,Good,21.4,98.3,0.375,0.96,0.32,47.4
Andaman and Nicobar Islands,Port Blair,2016-10-01,13.23,61.57,5.14,4.34,1.38,8.73,0.39,9.9,17.26,1.18,3.19,0.38,22,Good,8.9,85.2,0.223,2.07,0.32,46.9
Andaman and Nicobar Islands,Port Blair,2016-11-01,43.19,35.03,3.75,16.52,24.32,13.07,0.48,10.51,43.29,1.25,1.31,1.56,72,Satisfactory,6.8,71.1,0.349,0.43,0.3,47.3
Andaman and Nicobar Islands,Port Blair,2016-12-01,69.15,77.22,18.33,12.65,26.03,9.5,1.02,6.0,11.4,1.21,2.21,0.8,129,Moderate,2.8,74.2,0.153,1.44,0.31,47.3
Andaman and Nicobar Islands,Port Blair,2017-01-01,58.81,55.45,7.33,15.36,11.85,7.14,0.21,15.35,45.16,2.48,4.53,1.19,98,Satisfactory,9.7,59.4,0.285,1.45,0.33,47.9
Andaman and Nicobar Islands,Port Blair,2017-02-01,18.94,44.77,7.13,23.42,7.91,14.94,1.1,7.08,27.0,2.03,1.03,1.18,32,Good,5.7,51.8,0.431,1.13,0.32,47.7
Andaman and Nicobar Islands,Port Blair,2017-03-01,33.5,71.57,13.32,19.85,16.36,5.79,0.41,2.59,10.35,1.16,4.58,0.43,55,Satisfactory,9.4,44.5,0.237,1.11,0.32,47.8
Andaman and Nicobar Islands,Port Blair,2017-04-01,11.73,13.75,6.5,6.88,8.2,10.51,1.08,7.34,22.41,0.1,3.51,0.54,20,Good,13.9,45.2,0.324,0.77,0.32,47.4
Andaman and Nicobar Islands,Port Blair,2017-05-01,30.63,47.43,16.93,5.2,15.35,6.82,0.76,8.18,34.8,1.36,5.43,1.2,50,Good,8.7,52.2,0.376,1.36,0.32,47.4
Andaman and Nicobar Islands,Port Blair,2017-06-01,6.21,36.41,0.5,4.52,2.82,6.38,0.17,6.96,22.87,0.91,1.88,0.38,10,Good,16.3,75.9,0.229,2.24,0.33,47.8
Andaman and Nicobar Islands,Port Blair,2017-07-01,5.0,33.61,4.55,4.38,5.29,4.73,0.22,1.0,13.62,0.45,2.29,0.82,8,Good,14.2,96.3,0.266,-0.15,0.33,47.4
Andaman and Nicobar Islands,Port Blair,2017-08-01,10.86,25.73,1.49,1.11,2.62,8.54,0.64,4.11,11.13,0.1,1.7,1.0,18,Good,16.6,98.4,0.483,1.1,0.32,47.4
Andaman and Nicobar Islands,Port Blair,2017-09-01,11.8,22.26,4.92,6.36,14.07,6.62,0.51,3.52,11.66,0.27,2.07,1.02,20,Good,10.9,81.2,0.527,1.01,0.31,47.5
Andaman and Nicobar Islands,Port Blair,2017-10-01,39.26,54.17,6.2,14.92,15.85,8.15,0.46,7.99,11.15,0.36,3.62,0.37,65,Satisfactory,10.1,79.2,0.492,2.01,0.33,47.4
Andaman and Nicobar Islands,Port Blair,2017-11-01,37.86,24.91,22.11,2.73,22.17,5.26,0.69,6.25,4.67,1.73,4.5,1.13,63,Satisfactory,4.9,61.2,0.332,1.81,0.32,46.9
Andaman and Nicobar Islands,Port Blair,2017-12-01,17.56,102.37,4.67,32.12,24.77,16.36,1.51,4.02,15.51,2.4,4.11,0.8,29,Good,6.4,82.4,0.355,2.54,0.32,47.7
Andaman and Nicobar Islands,Port Blair,2018-01-01,31.81,32.88,4.16,36.56,5.64,14.7,0.19,13.15,9.42,1.72,5.0,0.36,52,Satisfactory,4.2,70.6,0.294,1.91,0.32,48.0
Andaman and Nicobar Islands,Port Blair,2018-02-01,52.91,44.04,9.51,22.84,16.36,3.2,0.9,8.63,38.0,1.86,2.71,0.91,88,Satisfactory,10.0,63.0,0.306,1.26,0.32,48.0
Andaman and Nicobar Islands,Port Blair,2018-03-01,40.99,28.31,9.95,10.11,16.44,9.61,0.98,5.29,23.68,1.11,0.82,0.41,68,Satisfactory,13.8,37.9,0.322,1.74,0.32,47.8
Andaman and Nicobar Islands,Port Blair,2018-04-01,33.28,45.21,8.28,4.2,5.41,9.81,0.97,8.22,33.72,0.62,0.84,0.79,55,Satisfactory,15.2,38.4,0.21,1.06,0.33,48.1
Andaman and Nicobar Islands,Port Blair,2018-05-01,23.25,31.44,10.71,6.44,20.27,2.54,0.26,11.4,46.35,1.85,3.46,1.51,39,Good,20.6,45.2,0.264,1.3,0.32,48.1
Andaman and Nicobar Islands,Port Blair,2018-06-01,22.42,10.0,4.89,6.09,11.96,1.86,0.34,3.49,16.51,0.1,2.91,0.28,37,Good,13.4,72.5,0.189,0.6,0.33,48.5
Andaman and Nicobar Islands,Port Blair,2018-07-01,13.13,16.77,1.42,11.19,14.38,2.72,0.24,1.0,9.99,0.51,1.01,0.55,22,Good,27.2,90.6,0.361,2.09,0.34,48.1
Andaman and Nicobar Islands,Port Blair,2018-08-01,15.8,15.42,7.52,8.75,6.67,7.04,0.6,4.55,10.23,0.6,2.26,0.17,26,Good,11.7,100.0,0.305,1.01,0.34,48.3
Andaman and Nicobar Islands,Port Blair,2018-09-01,16.2,35.12,10.66,9.44,7.83,0.5,0.51,6.7,8.87,1.0,1.65,0.89,27,Good,17.5,92.8,0.428,1.22,0.32,48.3
Andaman and Nicobar Islands,Port Blair,2018-10-01,18.33,37.26,4.4,3.71,17.69,7.83,1.02,4.37,30.38,1.28,3.27,0.95,31,Good,7.6,62.4,0.372,2.41,0.32,48.3
Andaman and Nicobar Islands,Port Blair,2018-11-01,48.44,55.82,3.03,31.35,9.25,2.29,1.15,9.13,37.63,1.54,3.11,0.23,80,Satisfactory,5.6,75.6,0.278,1.07,0.32,47.8
Andaman and Nicobar Islands,Port Blair,2018-12-01,25.09,47.61,18.75,26.49,28.8,11.02,1.55,20.24,25.94,1.37,2.19,1.02,42,Good,4.5,74.3,0.345,1.17,0.33,48.1
Andaman and Nicobar Islands,Port Blair,2019-01-01,48.43,64.05,4.77,7.68,6.56,1.43,0.75,16.97,13.4,0.87,4.8,0.86,80,Satisfactory,7.1,53.3,0.228,2.16,0.33,48.7
Andaman and Nicobar Islands,Port Blair,2019-02-01,44.32,42.5,10.29,11.04,12.78,11.73,1.11,8.51,12.58,0.96,2.52,0.91,74,Satisfactory,5.8,62.9,0.173,1.4,0.33,48.8
Andaman and Nicobar Islands,Port Blair,2019-03-01,20.59,50.86,4.79,14.96,6.81,9.06,1.1,8.43,23.51,1.59,2.2,0.52,34,Good,8.7,49.9,0.239,2.27,0.35,48.6
Andaman and Nicobar Islands,Port Blair,2019-04-01,32.05,33.19,7.0,18.3,11.58,5.66,0.4,10.81,30.56,0.19,4.16,1.42,53,Satisfactory,6.9,37.4,0.42,0.6,0.33,48.6
Andaman and Nicobar Islands,Port Blair,2019-05-01,37.0,73.23,13.74,15.59,5.19,13.18,0.33,15.1,21.72,0.4,3.41,1.14,61,Satisfactory,21.6,53.8,0.32,1.06,0.34,48.9
Andaman and Nicobar Islands,Port Blair,2019-06-01,14.72,30.02,7.49,7.63,2.95,8.83,0.83,1.0,13.87,0.83,2.05,0.83,25,Good,22.0,82.7,0.092,1.51,0.33,48.4
Andaman and Nicobar Islands,Port Blair,2019-07-01,28.91,41.13,5.09,4.71,6.29,2.39,0.26,6.54,16.7,0.81,1.55,0.87,48,Good,24.8,84.1,0.234,1.91,0.33,48.3
Andaman and Nicobar Islands,Port Blair,2019-08-01,21.94,27.16,3.26,5.7,5.54,7.7,0.78,1.93,13.94,0.58,2.88,0.78,37,Good,21.7,97.2,0.49,1.6,0.34,48.8
Andaman and Nicobar Islands,Port Blair,2019-09-01,19.02,30.02,8.31,16.11,8.94,4.43,0.48,4.28,16.49,0.55,1.24,0.59,32,Good,11.8,87.4,0.297,1.33,0.33,48.8
Andaman and Nicobar Islands,Port Blair,2019-10-01,22.52,66.05,0.69,23.22,13.66,7.8,0.82,3.46,14.15,2.38,1.07,0.3,38,Good,15.5,84.0,0.238,1.27,0.34,49.2
Andaman and Nicobar Islands,Port Blair,2019-11-01,36.14,97.46,14.13,13.22,15.44,12.03,0.81,12.55,39.72,0.99,2.09,1.25,60,Satisfactory,5.3,67.3,0.36,1.72,0.35,49.0
Andaman and Nicobar Islands,Port Blair,2019-12-01,18.44,52.52,16.09,32.38,25.91,9.51,1.19,7.09,27.54,1.27,3.54,2.05,31,Good,4.3,73.0,0.255,0.83,0.33,48.8
Andaman and Nicobar Islands,Port Blair,2020-01-01,18.51,82.41,10.94,29.46,8.37,14.97,1.28,10.16,31.67,2.29,1.68,1.64,31,Good,8.3,57.6,0.38,1.87,0.35,49.3
Andaman and Nicobar Islands,Port Blair,2020-02-01,7.44,77.28,3.08,19.34,16.99,9.91,1.33,7.34,18.0,2.01,3.67,0.05,12,Good,4.6,61.4,0.199,1.55,0.35,49.1
Andaman and Nicobar Islands,Port Blair,2020-03-01,18.08,25.8,4.66,5.65,2.95,4.45,0.53,6.2,15.77,0.68,1.09,0.43,30,Good,12.0,61.2,0.263,1.49,0.34,49.4
Andaman and Nicobar Islands,Port Blair,2020-04-01,8.24,10.0,0.5,2.61,3.98,1.68,0.48,1.68,2.0,0.1,0.1,0.62,14,Good,13.9,37.2,0.0,1.8,0.34,49.0
Andaman and Nicobar Islands,Port Blair,2020-05-01,12.76,30.58,3.12,6.98,1.0,1.71,0.14,2.57,9.64,0.93,2.1,0.05,21,Good,13.3,40.2,0.176,1.19,0.35,49.1
Andaman and Nicobar Islands,Port Blair,2020-06-01,19.22,29.18,5.53,4.96,2.66,3.62,0.13,2.48,11.69,0.69,1.07,0.11,32,Good,22.5,70.5,0.186,1.52,0.34,49.1
Andaman and Nicobar Islands,Port Blair,2020-07-01,15.02,24.61,6.69,3.92,6.98,2.8,0.46,7.54,8.35,1.26,2.83,0.59,25,Good,23.2,91.2,0.304,1.82,0.33,49.7
Andaman and Nicobar Islands,Port Blair,2020-08-01,14.95,10.0,11.75,11.62,13.93,9.4,0.57,4.49,9.02,0.23,1.6,0.08,25,Good,25.4,100.0,0.441,0.93,0.33,49.4
Andaman and Nicobar Islands,Port Blair,2020-09-01,14.2,44.22,8.5,8.06,14.66,5.52,0.31,2.14,17.08,0.7,1.67,1.17,24,Good,17.1,90.2,0.164,1.65,0.35,49.0
Andaman and Nicobar Islands,Port Blair,2020-10-01,31.83,42.47,8.38,16.26,15.82,8.42,0.77,6.43,35.43,0.1,2.91,1.33,52,Satisfactory,5.3,71.6,0.274,1.27,0.34,49.3
Andaman and Nicobar Islands,Port Blair,2020-11-01,21.55,106.45,10.58,5.65,12.04,19.09,1.3,1.0,12.89,1.44,5.59,1.58,36,Good,3.7,59.4,0.428,1.68,0.35,49.6
Andaman and Nicobar Islands,Port Blair,2020-12-01,52.76,42.8,10.73,20.53,8.82,12.12,0.92,14.87,47.79,2.63,6.91,1.68,88,Satisfactory,5.0,83.2,0.343,1.79,0.34,49.6
Andaman and Nicobar Islands,Port Blair,2021-01-01,14.73,30.23,12.69,22.42,22.19,8.85,1.06,8.39,34.77,0.84,6.01,1.44,25,Good,8.5,67.0,0.174,2.45,0.36,49.8
Andaman and Nicobar Islands,Port Blair,2021-02-01,47.52,28.77,9.46,20.52,14.1,10.29,1.37,9.78,23.35,1.13,2.24,1.32,79,Satisfactory,7.8,72.3,0.3,1.6,0.36,49.9
Andaman and Nicobar Islands,Port Blair,2021-03-01,15.0,14.73,9.73,20.19,16.38,11.01,0.65,7.81,17.46,1.86,1.38,1.25,25,Good,12.5,60.4,0.14,2.0,0.36,49.8
Andaman and Nicobar Islands,Port Blair,2021-04-01,6.9,27.39,10.46,22.24,15.68,7.41,0.84,7.29,11.22,1.69,3.3,0.41,12,Good,16.5,48.3,0.245,0.32,0.35,49.9
Andaman and Nicobar Islands,Port Blair,2021-05-01,13.71,28.48,5.68,14.5,8.26,11.66,1.3,9.37,29.92,1.3,2.94,0.05,23,Good,14.6,42.9,0.233,1.21,0.36,49.4
Andaman and Nicobar Islands,Port Blair,2021-06-01,22.25,58.21,3.51,3.85,7.44,12.32,0.73,5.58,8.17,1.1,0.87,0.97,37,Good,21.3,76.7,0.283,2.09,0.34,49.9
Andaman and Nicobar Islands,Port Blair,2021-07-01,12.97,10.0,4.55,4.18,7.85,7.47,0.59,4.9,10.5,0.52,1.05,0.44,22,Good,27.5,83.9,0.364,1.17,0.35,49.5
Andaman and Nicobar Islands,Port Blair,2021-08-01,19.58,42.95,8.97,8.82,9.49,6.05,0.66,5.48,11.99,0.1,0.46,0.71,33,Good,20.9,94.1,0.245,1.66,0.36,49.7
Andaman and Nicobar Islands,Port Blair,2021-09-01,9.26,46.5,7.45,3.25,1.0,4.57,0.62,7.93,10.33,0.52,3.5,0.57,15,Good,17.3,82.4,0.292,2.01,0.36,49.9
Andaman and Nicobar Islands,Port Blair,2021-10-01,22.28,59.12,9.88,4.85,8.94,9.83,1.07,10.34,13.47,1.23,1.34,0.12,37,Good,9.9,78.8,0.328,2.03,0.36,49.5
Andaman and Nicobar Islands,Port Blair,2021-11-01,42.26,40.45,9.51,23.66,20.03,7.27,0.97,9.11,13.21,2.72,1.04,2.04,70,Satisfactory,11.4,69.7,0.0,2.51,0.35,49.9
Andaman and Nicobar Islands,Port Blair,2021-12-01,12.97,64.53,7.33,14.59,8.91,17.2,0.57,11.74,12.01,0.64,5.19,0.97,22,Good,2.9,72.5,0.0,1.94,0.34,49.5
Andaman and Nicobar Islands,Port Blair,2022-01-01,50.51,50.86,10.09,8.63,8.44,8.19,1.38,8.66,24.78,1.77,2.48,2.2,84,Satisfactory,5.4,73.4,0.478,1.75,0.36,50.4
Andaman and Nicobar Islands,Port Blair,2022-02-01,35.31,11.26,15.3,13.01,1.33,3.39,1.06,6.81,22.81,2.14,4.67,0.05,58,Satisfactory,9.6,54.5,0.156,1.98,0.37,50.1
Andaman and Nicobar Islands,Port Blair,2022-03-01,31.26,42.88,11.88,23.83,6.06,11.48,0.49,8.96,26.09,1.43,3.69,0.61,51,Satisfactory,9.1,55.8,0.34,1.65,0.36,50.0
Andaman and Nicobar Islands,Port Blair,2022-04-01,29.17,63.43,7.04,11.02,21.35,5.13,0.4,9.71,39.31,1.23,3.01,0.67,49,Good,17.5,58.9,0.204,1.52,0.37,50.6
Andaman and Nicobar Islands,Port Blair,2022-05-01,37.24,41.15,5.07,17.99,15.8,5.0,0.73,9.88,15.28,0.83,2.23,1.89,62,Satisfactory,15.4,54.6,0.101,1.88,0.36,50.5
Andaman and Nicobar Islands,Port Blair,2022-06-01,12.26,48.8,4.38,1.08,2.58,5.72,0.16,2.53,7.32,0.47,0.1,0.21,20,Good,12.3,81.7,0.354,1.25,0.36,50.6
Andaman and Nicobar Islands,Port Blair,2022-07-01,5.0,28.35,0.5,13.15,9.62,8.39,0.19,8.49,8.22,0.3,0.5,0.22,8,Good,24.3,100.0,0.0,1.33,0.36,50.5
Andaman and Nicobar Islands,Port Blair,2022-08-01,17.73,30.15,2.49,7.49,4.31,0.5,0.15,2.49,16.0,0.17,1.64,0.71,30,Good,24.8,81.5,0.358,2.41,0.36,50.3
Andaman and Nicobar Islands,Port Blair,2022-09-01,12.6,22.25,7.46,6.32,7.41,3.18,0.32,1.0,13.01,0.1,2.68,0.57,21,Good,14.2,84.3,0.324,1.07,0.35,50.6
Andaman and Nicobar Islands,Port Blair,2022-10-01,17.18,58.26,9.32,9.13,10.48,7.83,0.33,7.82,25.86,0.81,1.77,1.12,29,Good,7.5,78.7,0.263,1.64,0.37,50.5
Andaman and Nicobar Islands,Port Blair,2022-11-01,31.41,35.13,8.41,6.67,18.45,15.52,1.38,7.44,48.97,2.14,2.51,0.99,52,Satisfactory,9.0,72.1,0.351,2.07,0.35,50.2
Andaman and Nicobar Islands,Port Blair,2022-12-01,24.04,104.49,12.73,29.12,21.53,19.11,1.68,13.39,31.28,1.33,6.19,1.25,40,Good,7.6,74.8,0.0,2.33,0.35,50.3
Andaman and Nicobar Islands,Port Blair,2023-01-01,38.05,54.14,13.56,29.16,23.03,21.03,1.12,6.31,22.79,1.14,3.12,1.04,63,Satisfactory,7.6,81.6,0.391,2.11,0.37,51.0
Andaman and Nicobar Islands,Port Blair,2023-02-01,21.67,50.87,4.63,19.56,11.88,4.1,0.98,12.49,31.97,2.64,3.44,1.06,36,Good,7.0,57.1,0.36,1.24,0.38,51.0
Andaman and Nicobar Islands,Port Blair,2023-03-01,26.81,66.73,8.61,10.73,15.99,5.39,0.23,10.0,9.4,0.82,1.61,0.73,45,Good,14.2,43.1,0.348,1.34,0.37,51.1
Andaman and Nicobar Islands,Port Blair,2023-04-01,17.93,72.19,9.67,19.97,3.03,4.03,0.66,6.08,38.69,1.23,2.88,1.43,30,Good,17.0,42.5,0.063,2.02,0.37,50.8
Andaman and Nicobar Islands,Port Blair,2023-05-01,28.35,44.12,11.25,25.44,4.58,8.82,0.44,14.49,29.65,0.51,4.43,1.23,47,Good,13.0,51.0,0.171,1.56,0.36,51.0
Andaman and Nicobar Islands,Port Blair,2023-06-01,12.83,37.74,11.98,11.08,1.81,8.62,0.36,4.66,17.86,0.52,1.15,0.77,21,Good,12.3,69.5,0.356,1.6,0.37,51.0
Andaman and Nicobar Islands,Port Blair,2023-07-01,17.18,34.5,6.44,4.65,1.77,2.08,0.1,4.79,15.44,0.82,1.21,0.39,29,Good,24.6,100.0,0.237,2.06,0.37,51.1
Andaman and Nicobar Islands,Port Blair,2023-08-01,17.22,23.53,0.5,11.65,8.77,4.62,0.47,2.93,11.44,0.34,2.06,0.47,29,Good,14.1,100.0,0.163,2.54,0.37,51.2
Andaman and Nicobar Islands,Port Blair,2023-09-01,17.72,25.39,7.68,5.71,5.19,5.71,0.49,4.32,5.66,0.79,0.76,0.85,30,Good,18.3,90.8,0.121,2.31,0.38,51.2
Andaman and Nicobar Islands,Port Blair,2023-10-01,27.29,54.66,8.28,17.5,6.84,12.33,0.52,5.79,30.5,1.17,2.86,0.96,45,Good,8.2,63.4,0.417,1.81,0.37,50.9
Andaman and Nicobar Islands,Port Blair,2023-11-01,58.73,50.07,8.04,23.77,19.83,5.15,0.55,11.18,24.9,2.62,1.76,1.95,98,Satisfactory,7.4,70.1,0.485,2.44,0.38,50.9
Andaman and Nicobar Islands,Port Blair,2023-12-01,28.16,26.22,8.0,35.28,10.8,20.05,1.79,11.75,30.34,0.74,0.55,0.72,47,Good,6.4,69.9,0.078,2.05,0.37,51.0
Andaman and Nicobar Islands,Port Blair,2024-01-01,50.68,33.75,7.32,25.21,24.06,5.65,1.36,11.65,26.61,0.43,2.79,2.37,84,Satisfactory,6.6,63.5,0.141,1.42,0.37,51.7
Andaman and Nicobar Islands,Port Blair,2024-02-01,16.81,41.28,8.72,9.54,26.28,13.01,1.17,9.78,18.34,2.55,4.59,0.25,28,Good,4.9,59.2,0.008,1.77,0.38,51.4
Andaman and Nicobar Islands,Port Blair,2024-03-01,25.82,78.93,8.23,20.7,9.29,4.44,0.51,3.49,18.51,1.79,1.91,0.65,43,Good,15.4,43.1,0.0,2.49,0.38,51.5
Andaman and Nicobar Islands,Port Blair,2024-04-01,25.4,61.68,7.33,17.54,1.0,5.7,0.85,3.42,17.55,0.33,1.48,0.42,42,Good,14.9,37.7,0.487,1.2,0.37,51.6
Andaman and Nicobar Islands,Port Blair,2024-05-01,13.38,25.86,7.47,15.3,6.44,14.38,0.33,5.6,40.53,1.34,4.54,0.97,22,Good,17.4,40.9,0.348,2.09,0.38,51.7
Andaman and Nicobar Islands,Port Blair,2024-06-01,17.34,37.14,8.3,1.0,5.67,6.95,0.28,6.31,20.62,0.62,2.73,0.78,29,Good,14.3,74.8,0.306,2.03,0.37,51.5
Andaman and Nicobar Islands,Port Blair,2024-07-01,21.61,28.93,2.01,13.62,5.09,4.18,0.72,5.74,2.0,0.68,1.24,0.19,36,Good,23.3,100.0,0.235,2.42,0.37,51.7
Andaman and Nicobar Islands,Port Blair,2024-08-01,5.0,15.95,4.73,4.78,1.0,6.05,0.85,4.21,5.72,0.1,1.62,0.73,8,Good,19.4,79.0,0.217,2.25,0.36,51.3
Andaman and Nicobar Islands,Port Blair,2024-09-01,12.13,35.7,5.04,15.52,2.78,8.83,0.81,7.0,17.34,0.39,2.39,0.66,20,Good,14.9,97.5,0.19,1.3,0.37,51.9
